sample.id,sample_no,subspp,sex,collection,lat,lon,elev,date,sampling_year,sampling_month,sampling_day,sampling_yrday,gen_cycle
ANIC-14,14,Abeona,1,ANIC,-35.65,150.3,28,22/3/2020,2020,3,22,81,-1
ANIC-16,16,Abeona,1,ANIC,-35.65,150.25,2,25/10/2020,2020,10,25,299,1
ANIC-17,17,Abeona,1,ANIC,-35.15,150.05,605,29/11/2020,2020,11,29,333,1
ANIC-18,18,Abeona,1,ANIC,-35.7,150.2,16,22/1/2020,2020,1,22,22,1
ANIC-20,20,Abeona,1,ANIC,-35.7,150.15,0,4/10/2020,2020,10,4,277,1
ANIC-21,21,Abeona,1,ANIC,-35.55,149.95,869,16/2/2020,2020,2,16,47,-1
ANIC-22,22,Abeona,1,ANIC,-35.15,150.05,605,29/11/2020,2020,11,29,333,1
ANIC-23,23,Abeona,1,ANIC,-35.65,150.25,2,25/10/2020,2020,10,25,299,1
ANIC-24,24,Abeona,1,ANIC,-35.85,150.2,30,28/2/2020,2020,2,28,59,-1
ANIC-25,25,Abeona,1,ANIC,-35.65,150.3,28,22/3/2020,2020,3,22,81,-1
ANIC-26,26,Abeona,1,ANIC,-35.85,150.15,14,22/2/2020,2020,2,22,53,-1
ANIC-27,27,Abeona,1,ANIC,-35.65,150.3,28,22/11/2020,2020,11,22,326,1
ANIC-28,28,Abeona,1,ANIC,-35.6,150,391,15/2/2020,2020,2,15,46,-1
ANIC-29,29,Abeona,1,ANIC,-35.55,150,368,11/2/2020,2020,2,11,42,-1
ANIC-30,30,Abeona,1,ANIC,-35.55,149.95,869,16/2/2020,2020,2,16,47,-1
ANIC-31,31,Abeona,1,ANIC,-35.55,150,368,11/2/2020,2020,2,11,42,-1
ANIC-32,32,Abeona,1,ANIC,-35.55,149.95,869,15/2/2020,2020,2,15,46,-1
ANIC-33,33,Abeona,1,ANIC,-35.55,149.95,869,15/2/2020,2020,2,15,46,-1
ANIC-34,34,Abeona,1,ANIC,-35.55,149.95,869,15/2/2020,2020,2,15,46,-1
ANIC-35,35,Abeona,1,ANIC,-35.55,150,359,18/1/2020,2020,1,18,18,1
ANIC-36,36,Abeona,1,ANIC,-35.55,150,359,18/1/2020,2020,1,18,18,1
ANIC-37,37,Abeona,1,ANIC,-35.15,150.7,52,13/9/2020,2020,9,13,256,1
ANIC-38,38,Abeona,1,ANIC,-35.55,149.95,869,15/2/2020,2020,2,15,46,-1
ANIC-39,39,Abeona,1,ANIC,-35.55,150,359,19/1/2020,2020,1,19,19,1
ANIC-40,40,Abeona,1,ANIC,-35.55,149.95,869,1/1/2020,2020,1,1,1,1
ANIC-41,41,Abeona,1,ANIC,-35.55,149.95,869,1/1/2020,2020,1,1,1,1
ANIC-42,42,Abeona,-1,ANIC,-35.55,149.95,869,1/1/2020,2020,1,1,1,1
ANIC-43,43,Abeona,1,ANIC,-35.85,150.25,10,1/12/2020,2020,12,1,335,1
ANIC-47,47,Abeona,1,ANIC,-35.4,149.55,1143,10/2/2020,2020,2,10,41,-1
ANIC-48,48,Abeona,1,ANIC,-35.95,150.15,33,22/12/2020,2020,12,22,356,1
